municipio,regiao,populacao,idh,total_atendimentos,atend_por_100k,rank_proporcional,cod_ibge
Farias Brito,Sul Cearense,18217,0.633,644,3535.16,89,2304301
Forquilha,Noroeste Cearense,24173,0.644,523,2163.57,145,2304350
Fortaleza,Metropolitana de Fortaleza,2428708,0.754,9364,385.55,184,2304400
Fortim,Jaguaribe,17294,0.624,277,1601.71,168,2304459
Frecheirinha,Noroeste Cearense,15657,0.604,212,1354.03,173,2304509
General Sampaio,Norte Cearense,6734,0.568,242,3593.7,85,2304608
Graça,Noroeste Cearense,13801,0.57,259,1876.68,156,2304657
Granja,Noroeste Cearense,53344,0.559,2518,4720.31,51,2304707
Granjeiro,Sul Cearense,4841,0.585,96,1983.06,149,2304806
Groaíras,Noroeste Cearense,10910,0.633,168,1539.87,171,2304905
Guaiúba,Metropolitana de Fortaleza,24325,0.617,571,2347.38,134,2304954
Guaraciaba do Norte,Noroeste Cearense,42053,0.609,1140,2710.86,113,2305001
Guaramiranga,Norte Cearense,5654,0.637,134,2370.0,131,2305100
Hidrolândia,Noroeste Cearense,17855,0.597,442,2475.5,124,2305209
Horizonte,Metropolitana de Fortaleza,74755,0.658,625,836.06,180,2305233
Ibaretama,Sertões Cearenses,11956,0.577,551,4608.56,53,2305266
Ibiapina,Noroeste Cearense,23965,0.608,472,1969.54,150,2305308
Ibicuitinga,Jaguaribe,11611,0.606,247,2127.29,146,2305332
Icapuí,Jaguaribe,21433,0.616,503,2346.85,135,2305357
Icó,Centro-Sul Cearense,62642,0.606,1819,2903.8,102,2305407
Iguatu,Centro-Sul Cearense,98064,0.677,1213,1236.95,176,2305506
Independência,Sertões Cearenses,24024,0.632,627,2609.89,118,2305605
Ipaporanga,Sertões Cearenses,11575,0.579,224,1935.21,153,2305654
Ipaumirim,Centro-Sul Cearense,12083,0.606,305,2524.21,122,2305704
Ipu,Noroeste Cearense,41081,0.618,1002,2439.08,128,2305803
Ipueiras,Noroeste Cearense,36798,0.573,630,1712.05,165,2305902
Iracema,Jaguaribe,14001,0.652,257,1835.58,162,2306009
Irauçuba,Noroeste Cearense,23915,0.605,855,3575.16,87,2306108
Itaiçaba,Jaguaribe,7536,0.656,114,1512.74,172,2306207
Itaitinga,Metropolitana de Fortaleza,64650,0.626,546,844.55,179,2306256
Itapajé,Norte Cearense,46426,,1070,2304.74,137,2306306
Itapipoca,Norte Cearense,131123,0.64,7620,5811.34,25,2306405
Itapiúna,Norte Cearense,17841,0.604,1178,6602.77,10,2306504
